Skills,Experience,Education_Ordinal,Certifications_Encoded,Job_Role_Encoded,Salary_Expectation,Projects_Count
"Deep Learning, SQL, Python, Machine Learning",8,3,0,2,100345,0
"Networking, Ethical Hacking",0,4,1,1,63561,5
"SQL, C++, Java",1,3,3,3,48157,5
"Cybersecurity, Linux, Ethical Hacking",0,2,3,1,114364,9
"Cybersecurity, Networking, Linux",8,4,1,1,107124,2
"Linux, Cybersecurity, Networking, Ethical Hacking",6,2,0,1,109463,6
"Java, C++, React, SQL",6,2,1,3,58157,4
"SQL, Java",7,3,0,3,48252,4
"Cybersecurity, Ethical Hacking, Linux",7,3,0,1,63157,4
"Pytorch, NLP, TensorFlow",7,2,1,0,106421,2
"C++, SQL, Java",5,2,2,3,97505,7
"Cybersecurity, Ethical Hacking, Networking, Linux",1,3,1,1,102390,6
"React, C++, Java, SQL",0,3,0,3,80517,8
"Deep Learning, Python",6,3,1,2,53984,7
"NLP, Pytorch, TensorFlow",6,3,1,0,64149,0
"Java, SQL",3,2,1,3,89716,1
"Java, C++, SQL, React",7,2,2,3,115954,9
"Networking, Cybersecurity",1,4,3,1,100697,9
"Python, Deep Learning, Machine Learning",5,3,3,2,94342,10
"Java, SQL, C++, React",3,2,1,3,67414,0
"Python, TensorFlow",3,2,0,0,70067,3
"React, SQL",9,2,0,3,50001,6
"Cybersecurity, Ethical Hacking, Linux",7,3,0,1,64888,5
"Python, Deep Learning",7,2,3,2,104891,2
"Python, SQL",0,2,2,2,76195,10
"React, SQL, C++, Java",0,2,2,3,118032,2
"Linux, Cybersecurity, Networking",2,2,0,1,54759,1
"C++, SQL",5,3,2,3,41530,0
"TensorFlow, Pytorch",5,4,0,0,79405,4
"Cybersecurity, Networking",4,4,3,1,87051,0
"NLP, Pytorch, TensorFlow",6,2,1,0,72164,4
"Python, NLP",7,3,2,0,80936,3
"React, SQL, Java",1,2,2,3,105524,9
"Networking, Linux",2,2,3,1,64118,0
"Machine Learning, Deep Learning, SQL",0,2,0,2,63564,6
"Ethical Hacking, Cybersecurity, Linux",1,2,1,1,117772,2
"Python, SQL, Deep Learning",10,2,3,2,92689,8
"Pytorch, NLP",1,3,3,0,105641,2
"SQL, Java, C++, React",0,2,0,3,53699,8
"SQL, Python, Deep Learning, Machine Learning",2,2,2,2,69741,10
"Networking, Cybersecurity, Ethical Hacking, Linux",0,4,0,1,62201,5
"Linux, Ethical Hacking, Networking, Cybersecurity",6,2,0,1,59082,5
"C++, Java, SQL",3,4,1,3,98746,4
"SQL, Machine Learning, Deep Learning, Python",8,3,2,2,109019,8
"Machine Learning, SQL, Python",10,2,1,2,53167,9
"Deep Learning, Python, SQL, Machine Learning",3,2,0,2,113134,5
"TensorFlow, NLP, Python",4,3,0,0,72225,6
"Python, Machine Learning, Deep Learning",8,2,1,2,100425,0
"SQL, Python",8,3,1,2,75286,10
"Networking, Ethical Hacking, Cybersecurity, Linux",2,3,3,1,60745,0
"Cybersecurity, Ethical Hacking, Networking",0,2,3,1,82635,7
"Python, SQL, Machine Learning",3,3,1,2,59564,2
"SQL, C++, Java",4,2,1,3,50410,10
"Pytorch, TensorFlow",9,4,2,0,59856,2
"Ethical Hacking, Linux",2,3,3,1,115687,7
"Python, Deep Learning",8,4,3,2,69641,10
"Machine Learning, Deep Learning, SQL",4,3,0,2,107045,8
"Deep Learning, Python, SQL",2,2,1,2,99578,0
"Cybersecurity, Linux",8,2,2,1,90950,10
"React, SQL, C++",3,2,2,3,100722,5
"Ethical Hacking, Linux, Networking, Cybersecurity",3,4,3,1,106073,4
"Cybersecurity, Ethical Hacking, Linux, Networking",7,4,3,1,62406,1
"Deep Learning, Python, Machine Learning, SQL",2,2,3,2,84282,6
"Pytorch, TensorFlow",9,2,2,0,61090,7
"Pytorch, Python, TensorFlow, NLP",9,3,2,0,47919,4
"SQL, Java",8,2,0,3,83833,8
"Cybersecurity, Ethical Hacking, Networking",6,3,2,1,108922,10
"React, SQL",4,4,3,3,108770,10
"NLP, Pytorch, Python",4,4,2,0,45733,9
"TensorFlow, NLP, Python, Pytorch",8,3,2,0,100399,7
"Python, TensorFlow, Pytorch",0,3,3,0,75275,1
"Java, React, C++, SQL",5,3,2,3,87525,1
"Deep Learning, Python, SQL, Machine Learning",1,4,0,2,84131,3
"Machine Learning, Python, SQL, Deep Learning",6,3,0,2,116163,2
"Networking, Linux",3,3,3,1,97811,6
"Ethical Hacking, Linux, Cybersecurity",5,3,1,1,53855,8
"Machine Learning, Python, SQL",0,3,2,2,116814,5
"Networking, Ethical Hacking, Cybersecurity",8,3,3,1,44474,1
"Networking, Linux",3,3,1,1,102962,7
"SQL, Deep Learning, Python",9,2,2,2,96487,0
"Networking, Ethical Hacking",1,4,2,1,117535,8
"SQL, Java, C++, React",5,2,3,3,57546,4
"NLP, TensorFlow",6,2,2,0,106122,10
"Machine Learning, SQL",2,3,1,2,90929,7
"Ethical Hacking, Cybersecurity, Linux",1,3,1,1,71766,7
"Linux, Ethical Hacking",1,4,0,1,60465,3
"Python, TensorFlow",3,2,3,0,82959,3
"SQL, Java, React",3,2,3,3,96280,9
"SQL, Deep Learning, Python, Machine Learning",7,2,3,2,82958,10
"TensorFlow, NLP, Python",0,3,2,0,40720,2
"Ethical Hacking, Networking, Linux",0,2,2,1,99469,9
"Linux, Networking",4,3,3,1,116278,0
"Machine Learning, Deep Learning, Python, SQL",4,2,3,2,51928,8
"Pytorch, Python, TensorFlow",7,2,3,0,53796,3
"Java, React, SQL, C++",8,3,2,3,61601,7
"NLP, Pytorch, Python",10,2,2,0,119307,2
"TensorFlow, Pytorch, NLP, Python",6,4,2,0,64338,10
"Cybersecurity, Networking, Linux",2,2,0,1,104195,3
"Networking, Ethical Hacking, Cybersecurity",10,2,2,1,92197,5
"SQL, C++",3,2,1,3,41891,4
"C++, Java, SQL",2,3,2,3,62255,7
"SQL, Python, Machine Learning, Deep Learning",3,2,3,2,94642,8
"Python, TensorFlow",5,2,2,0,88058,0
"Linux, Ethical Hacking",5,2,0,1,111508,7
"SQL, Java, C++",4,2,1,3,113251,8
"Machine Learning, Python, Deep Learning",9,2,3,2,93707,0
"Cybersecurity, Ethical Hacking, Networking, Linux",2,2,2,1,72178,3
"Deep Learning, SQL, Python",3,2,0,2,50781,6
"Networking, Cybersecurity, Ethical Hacking",4,3,0,1,66208,9
"Machine Learning, Deep Learning, SQL, Python",1,4,3,2,60495,7
"Pytorch, Python",9,4,1,0,97435,7
"TensorFlow, NLP, Pytorch",5,2,0,0,88653,0
"Networking, Cybersecurity, Ethical Hacking",7,4,3,1,54150,0
"C++, SQL, Java",1,4,1,3,68682,7
"SQL, Deep Learning",0,4,1,2,118976,8
"SQL, Java",5,2,0,3,54536,0
"Pytorch, Python",3,3,1,0,48726,0
"Pytorch, TensorFlow, Python",6,2,3,0,65283,7
"Pytorch, NLP, Python, TensorFlow",1,3,3,0,84774,9
"Machine Learning, Python",5,2,2,2,91581,4
"Pytorch, Python, NLP",2,2,3,0,94786,4
"Cybersecurity, Ethical Hacking, Networking, Linux",6,3,3,1,98876,2
"Pytorch, TensorFlow, NLP, Python",5,3,0,0,53097,0
"NLP, Pytorch, TensorFlow",1,2,0,0,60718,1
"Machine Learning, Python",8,2,3,2,40162,7
"SQL, Java, React",4,4,0,3,79539,5
"TensorFlow, Python",7,2,1,0,98529,1
"NLP, Python",5,2,0,0,105979,3
"Linux, Ethical Hacking, Cybersecurity, Networking",7,2,0,1,61624,1
"NLP, Pytorch, TensorFlow, Python",0,3,1,0,70137,9
"Machine Learning, Python",3,2,1,2,79722,2
"Java, SQL",3,4,2,3,112396,10
"Python, Machine Learning",7,2,0,2,55994,2
"Cybersecurity, Ethical Hacking, Linux",1,3,0,1,78344,10
"C++, Java",9,3,1,3,51284,4
"Cybersecurity, Linux, Networking",0,3,1,1,49774,7
"Pytorch, NLP",0,3,1,0,96555,5
"SQL, Java",1,3,3,3,82703,0
"Pytorch, TensorFlow",8,2,1,0,73142,9
"Pytorch, NLP",5,3,0,0,64489,4
"TensorFlow, Pytorch, NLP, Python",6,2,0,0,109750,9
"SQL, Deep Learning, Machine Learning",1,3,3,2,54006,4
"Java, SQL",8,3,1,3,115051,2
"C++, React, Java, SQL",7,2,0,3,59061,6
"TensorFlow, Pytorch, Python",5,2,2,0,79333,5
"Cybersecurity, Ethical Hacking, Linux",1,2,2,1,65313,7
"SQL, Deep Learning",5,2,2,2,55964,5
"NLP, TensorFlow, Pytorch",9,4,3,0,88498,9
"Linux, Cybersecurity, Ethical Hacking",8,3,1,1,114489,9
"Python, TensorFlow, Pytorch, NLP",3,4,3,0,63325,8
"Linux, Ethical Hacking",8,3,0,1,96662,9
"React, SQL",10,3,0,3,113587,0
"Python, SQL, Machine Learning, Deep Learning",0,3,1,2,69800,6
"Networking, Ethical Hacking",0,2,3,1,97659,4
"Java, C++, SQL",9,3,1,3,82288,0
"Cybersecurity, Ethical Hacking, Networking, Linux",6,4,2,1,67810,1
"Deep Learning, SQL",5,3,2,2,114879,8
"React, C++, Java, SQL",6,2,2,3,74854,6
"Pytorch, NLP, Python, TensorFlow",5,2,3,0,56104,6
"SQL, Deep Learning",3,2,0,2,99679,5
"Python, Machine Learning, Deep Learning, SQL",7,3,2,2,112572,5
"Linux, Cybersecurity",9,2,3,1,62823,7
"Deep Learning, SQL, Python, Machine Learning",5,3,0,2,97148,1
"Linux, Networking, Cybersecurity, Ethical Hacking",8,4,0,1,83146,10
"C++, Java, React, SQL",9,3,0,3,81897,4
"Machine Learning, Python, Deep Learning, SQL",1,2,2,2,55166,4
"SQL, Deep Learning, Machine Learning, Python",1,4,3,2,84161,6
"Cybersecurity, Networking, Linux, Ethical Hacking",1,2,3,1,99954,8
"Deep Learning, Machine Learning",4,4,0,2,103828,0
"C++, Java, SQL, React",2,3,0,3,54193,0
"Pytorch, Python, TensorFlow",0,4,2,0,110862,6
"SQL, Machine Learning",9,2,2,2,54846,8
"Linux, Ethical Hacking, Cybersecurity, Networking",8,3,0,1,45438,3
"Deep Learning, Python, Machine Learning",6,2,2,2,89840,2
"Python, NLP",3,2,3,0,95270,7
"Python, Deep Learning, Machine Learning",8,2,1,2,110499,9
"Machine Learning, Deep Learning, Python",3,4,3,2,107521,10
"TensorFlow, Pytorch, NLP",3,3,0,0,103006,7
"Python, Deep Learning",6,4,2,2,63260,8
"Python, Pytorch, TensorFlow",1,3,3,0,88349,10
"Cybersecurity, Linux, Ethical Hacking",7,3,1,1,81422,10
"Pytorch, NLP, TensorFlow, Python",7,3,0,0,51478,9
"NLP, Python, Pytorch",1,3,0,0,97459,0
"Java, React, C++",0,4,1,3,47445,2
"Ethical Hacking, Networking, Linux",0,3,2,1,60440,7
"SQL, Deep Learning, Python, Machine Learning",7,2,3,2,54552,2
"Networking, Ethical Hacking, Linux, Cybersecurity",9,2,1,1,80779,5
"Linux, Networking, Ethical Hacking",3,2,0,1,45475,3
"Deep Learning, SQL, Python, Machine Learning",4,3,3,2,60868,7
"SQL, C++",0,2,2,3,46679,5
"Ethical Hacking, Networking, Linux, Cybersecurity",1,2,2,1,97517,9
"TensorFlow, Python, NLP",7,2,1,0,74451,9
"TensorFlow, NLP, Python",10,3,2,0,65446,9
"Deep Learning, Python, SQL, Machine Learning",0,4,3,2,95742,2
"Ethical Hacking, Networking, Linux",1,3,2,1,102085,6
"C++, React",1,3,3,3,55836,3
"SQL, React, C++",7,2,0,3,65733,0
"React, SQL, Java, C++",1,4,3,3,50422,1
"SQL, Deep Learning, Python",5,4,3,2,89654,3
"Deep Learning, Python",9,2,2,2,91723,8
"SQL, Python, Deep Learning",3,3,3,2,112439,10
"Python, Deep Learning, SQL, Machine Learning",1,2,0,2,61616,9
"SQL, Machine Learning",9,4,0,2,119901,3
"Deep Learning, SQL, Python, Machine Learning",1,4,1,2,52288,1
"SQL, Python, Machine Learning",10,4,0,2,55716,0
"Java, React, SQL",1,4,3,3,91756,1
"SQL, Java, React",2,2,3,3,82150,4
"Python, TensorFlow, Pytorch",1,2,1,0,85905,7
"Networking, Cybersecurity, Ethical Hacking, Linux",9,3,0,1,45660,9
"Python, Pytorch, NLP, TensorFlow",4,4,1,0,50369,8
"Deep Learning, Machine Learning, Python, SQL",5,2,3,2,92538,1
"Networking, Cybersecurity, Ethical Hacking, Linux",4,2,1,1,98013,4
"Machine Learning, Python, Deep Learning",3,2,0,2,99842,4
"C++, Java, SQL",6,3,0,3,40595,1
"Linux, Networking, Cybersecurity",6,3,3,1,59504,1
"Linux, Cybersecurity",9,2,1,1,78574,7
"Python, Deep Learning, Machine Learning, SQL",9,2,2,2,64063,9
"Linux, Cybersecurity",2,4,0,1,48427,1
"Cybersecurity, Ethical Hacking",6,3,0,1,56096,8
"C++, Java, React",4,3,2,3,53412,0
"TensorFlow, Python",10,4,0,0,98659,6
"Networking, Cybersecurity, Ethical Hacking",2,2,2,1,63016,7
"Python, Deep Learning, SQL, Machine Learning",7,2,2,2,65981,0
"Machine Learning, Python, SQL",10,3,2,2,88678,3
"React, SQL",8,3,0,3,46717,6
"NLP, TensorFlow, Pytorch, Python",0,2,2,0,107278,1
"TensorFlow, Python, Pytorch",8,4,3,0,75976,1
"Deep Learning, Machine Learning, Python, SQL",5,2,3,2,112155,0
"TensorFlow, Python, NLP, Pytorch",8,3,0,0,70446,8
"Linux, Cybersecurity",8,3,0,1,60790,7
"Ethical Hacking, Networking",6,2,0,1,119478,2
"C++, React",9,3,3,3,113428,2
"Networking, Ethical Hacking",6,2,1,1,107340,7
"Linux, Networking, Cybersecurity",9,3,1,1,73851,6
"Pytorch, NLP, Python",10,3,1,0,106554,2
"SQL, Python",10,4,0,2,64417,7
"Python, Machine Learning, SQL",0,2,0,2,71169,4
"Networking, Cybersecurity, Ethical Hacking, Linux",4,3,2,1,91996,8
"NLP, TensorFlow",7,3,2,0,99118,1
"Deep Learning, Machine Learning, Python",10,2,3,2,58090,4
"React, SQL, C++",1,3,3,3,88441,10
"Cybersecurity, Networking, Linux, Ethical Hacking",10,3,1,1,114697,9
"Networking, Ethical Hacking, Linux, Cybersecurity",10,3,2,1,97006,5
"Cybersecurity, Linux, Ethical Hacking",5,3,0,1,59821,5
"Machine Learning, Deep Learning",9,4,3,2,51682,8
"TensorFlow, NLP, Python",3,3,1,0,80393,10
"Pytorch, TensorFlow, Python",4,3,2,0,67536,6
"React, SQL, Java, C++",6,2,1,3,119018,0
"Cybersecurity, Linux",2,3,1,1,118103,1
"Ethical Hacking, Linux, Networking",5,2,1,1,87063,5
"Ethical Hacking, Networking, Linux",3,2,2,1,118508,7
"C++, React, SQL, Java",9,2,2,3,76854,9
"Java, C++, React, SQL",9,2,1,3,68144,2
"Machine Learning, Deep Learning, Python",10,3,2,2,47998,10
"Java, React, C++",10,3,3,3,74425,5
"NLP, Pytorch",8,2,0,0,41624,4
"Python, Machine Learning",8,4,2,2,103477,9
"TensorFlow, Pytorch, Python, NLP",10,2,0,0,94952,6
"C++, Java",4,3,1,3,43297,2
"Ethical Hacking, Cybersecurity, Networking",2,4,1,1,117219,5
"Java, C++, React, SQL",4,2,3,3,98181,8
"SQL, Deep Learning, Machine Learning",9,2,2,2,89128,0
"Pytorch, NLP, Python, TensorFlow",7,3,0,0,112353,10
"SQL, Machine Learning, Deep Learning, Python",5,2,3,2,89620,3
"Linux, Ethical Hacking",2,3,0,1,76342,4
"Machine Learning, Python, SQL",6,2,3,2,50393,5
"C++, React",10,3,0,3,101108,9
"SQL, Machine Learning, Python, Deep Learning",6,2,2,2,99502,8
"Deep Learning, Machine Learning, SQL",5,2,2,2,41593,4
"Ethical Hacking, Networking, Cybersecurity",10,3,1,1,51159,8
"Deep Learning, SQL",5,3,2,2,101471,0
"Python, Machine Learning",8,4,0,2,95978,4
"Deep Learning, Machine Learning, SQL",7,2,0,2,118152,6
"Cybersecurity, Networking, Ethical Hacking",1,2,2,1,56827,4
"Cybersecurity, Linux, Ethical Hacking",3,3,3,1,103993,9
"Java, C++, React",7,4,3,3,100195,6
"C++, SQL",2,3,0,3,83223,4
"Python, Deep Learning, SQL",4,3,0,2,95919,6
"Pytorch, TensorFlow, Python, NLP",4,2,2,0,45453,5
"Linux, Ethical Hacking",3,3,0,1,45271,2
"SQL, Python, Machine Learning, Deep Learning",3,3,1,2,102054,1
"React, Java",3,3,0,3,105280,9
"TensorFlow, Python, NLP",6,4,1,0,112672,2
"Cybersecurity, Linux",7,2,1,1,92129,3
"C++, SQL",2,3,2,3,94346,1
"Python, TensorFlow, NLP",10,3,3,0,118077,8
"Linux, Cybersecurity, Ethical Hacking",8,4,1,1,71624,8
"Networking, Cybersecurity",5,3,3,1,40736,6
"Cybersecurity, Networking, Ethical Hacking",4,3,3,1,112115,9
"C++, Java, SQL, React",10,4,3,3,79684,8
"Cybersecurity, Networking",7,3,3,1,109418,6
"Java, SQL, C++",0,2,0,3,52290,2
"Python, Machine Learning, Deep Learning",0,2,1,2,97987,10
"SQL, React",10,2,1,3,89543,5
"NLP, TensorFlow, Pytorch, Python",8,2,1,0,108667,0
"TensorFlow, NLP, Pytorch",10,2,3,0,104895,8
"Ethical Hacking, Networking",6,4,2,1,45959,5
"TensorFlow, NLP, Python, Pytorch",4,3,0,0,42305,10
"TensorFlow, NLP, Pytorch",6,2,1,0,63269,0
"Python, Deep Learning, Machine Learning, SQL",2,2,1,2,42356,3
"React, SQL, Java",1,3,1,3,46437,9
"SQL, Java",0,2,0,3,65854,6
"Pytorch, TensorFlow, Python, NLP",10,4,2,0,99512,2
"Python, Machine Learning, SQL",4,2,3,2,85884,6
"SQL, Machine Learning",2,2,3,2,116999,2
"Cybersecurity, Networking",4,4,3,1,98557,2
"Deep Learning, SQL",2,4,3,2,89120,3
"Python, Pytorch",0,2,1,0,71804,10
"Deep Learning, SQL, Machine Learning, Python",3,2,0,2,89915,9
"Ethical Hacking, Networking, Linux",8,4,3,1,97521,7
"Pytorch, Python, NLP",10,3,3,0,89696,3
"C++, React",4,2,1,3,54116,10
"React, C++, Java",5,4,0,3,72099,10
"Networking, Cybersecurity, Ethical Hacking",8,2,3,1,94140,4
"TensorFlow, Python",1,3,3,0,75420,6
"React, C++, SQL, Java",0,3,3,3,94099,0
"SQL, Python",8,2,1,2,118157,10
"SQL, C++, React",1,3,1,3,118312,4
"SQL, Machine Learning",1,2,1,2,104811,1
"Python, NLP, TensorFlow",10,2,3,0,62710,2
"Deep Learning, SQL",1,3,2,2,64383,4
"Linux, Networking, Cybersecurity, Ethical Hacking",7,4,3,1,91604,3
"Python, Machine Learning, Deep Learning, SQL",1,4,2,2,113545,6
"Java, C++",9,3,2,3,82341,3
"Python, TensorFlow, Pytorch, NLP",8,4,0,0,44783,10
"Cybersecurity, Ethical Hacking, Linux, Networking",6,3,1,1,80085,10
"SQL, Machine Learning",1,4,1,2,95743,4
"NLP, Pytorch",7,4,0,0,92104,6
"Networking, Cybersecurity, Linux",2,4,1,1,55337,6
"Python, Machine Learning",2,2,1,2,71635,1
"Python, Pytorch, NLP, TensorFlow",3,4,1,0,82727,9
"SQL, Java",3,2,3,3,41272,6
"React, Java, C++",5,2,2,3,115813,0
"Pytorch, TensorFlow, NLP",4,2,3,0,59560,5
"Ethical Hacking, Cybersecurity, Linux",3,3,1,1,113725,0
"Cybersecurity, Ethical Hacking",1,4,0,1,65601,5
"React, Java",4,4,2,3,51742,6
"SQL, Java, React, C++",5,3,1,3,60720,7
"Java, SQL",2,3,0,3,83473,10
"React, C++",7,4,3,3,107965,10
"SQL, Java, C++",1,4,1,3,88945,7
"Python, Deep Learning",9,2,0,2,108567,1
"SQL, Deep Learning, Machine Learning, Python",8,2,3,2,72780,9
"Python, NLP",0,4,1,0,81970,10
"Python, Machine Learning, SQL, Deep Learning",7,4,0,2,62092,2
"React, SQL, C++",6,3,2,3,100827,10
"SQL, C++",1,2,0,3,45422,10
"Python, SQL, Machine Learning",3,4,2,2,55365,1
"Python, SQL, Deep Learning",3,3,0,2,55341,10
"Pytorch, NLP, Python",10,3,2,0,85192,2
"Pytorch, TensorFlow",3,3,3,0,81415,7
"Ethical Hacking, Cybersecurity, Networking, Linux",3,3,2,1,93303,1
"Java, SQL",8,3,2,3,50950,8
"Ethical Hacking, Networking",6,3,3,1,94810,7
"C++, Java, React",5,3,0,3,76625,10
"NLP, TensorFlow, Python, Pytorch",0,3,2,0,119583,8
"Python, NLP",1,3,2,0,98317,1
"React, Java, SQL",3,2,3,3,118891,0
"Cybersecurity, Ethical Hacking, Linux",9,2,1,1,59885,2
"SQL, Deep Learning, Python, Machine Learning",6,3,2,2,107075,8
"Pytorch, NLP, Python, TensorFlow",10,3,0,0,77860,1
"C++, React, Java",9,2,1,3,76157,8
"Networking, Cybersecurity",7,4,3,1,50704,0
"Cybersecurity, Networking, Ethical Hacking",6,3,0,1,53165,8
"Cybersecurity, Networking, Linux, Ethical Hacking",6,2,3,1,102518,7
"Cybersecurity, Linux, Ethical Hacking, Networking",3,3,1,1,118062,8
"Machine Learning, SQL, Python, Deep Learning",7,2,2,2,71459,0
"Networking, Cybersecurity, Linux, Ethical Hacking",5,2,3,1,93770,7
"NLP, TensorFlow, Pytorch",7,3,3,0,88358,4
"Deep Learning, Machine Learning, SQL",2,4,1,2,106032,10
"Ethical Hacking, Linux, Networking, Cybersecurity",0,2,2,1,76108,5
"NLP, Pytorch, Python",2,2,0,0,45134,10
"Networking, Linux, Ethical Hacking",4,4,3,1,107425,2
"Machine Learning, Python, Deep Learning",0,2,1,2,91454,1
"Deep Learning, Machine Learning",0,3,1,2,103294,5
"Cybersecurity, Ethical Hacking, Networking, Linux",6,3,2,1,89696,10
"SQL, Java, C++",2,2,0,3,90151,1
"Java, C++, SQL, React",4,2,3,3,46950,7
"TensorFlow, Python, NLP, Pytorch",4,2,3,0,94202,4
"Python, Pytorch, TensorFlow, NLP",7,2,2,0,75507,7
"React, C++, SQL, Java",7,3,2,3,67871,10
"React, Java, C++, SQL",3,4,2,3,63537,2
"C++, Java, React, SQL",10,3,1,3,103925,9
"Pytorch, TensorFlow, Python",8,3,3,0,82202,5
"Java, SQL, C++",9,2,2,3,113365,8
"NLP, TensorFlow",8,3,3,0,64722,1
"Python, Pytorch, TensorFlow",9,3,0,0,97312,1
"Linux, Cybersecurity, Ethical Hacking",10,3,1,1,56768,3
"SQL, Python",10,2,0,2,59926,4
"TensorFlow, NLP, Python",3,4,0,0,71785,7
"TensorFlow, Python, NLP",6,2,2,0,88432,4
"C++, React",8,2,1,3,71077,7
"SQL, Machine Learning, Python, Deep Learning",7,3,1,2,119474,3
"Linux, Networking, Cybersecurity, Ethical Hacking",3,3,0,1,114989,9
"Python, NLP",5,2,2,0,54525,8
"Machine Learning, Python, Deep Learning, SQL",8,2,0,2,57448,0
"Machine Learning, Deep Learning, Python",7,2,1,2,99741,0
"Python, Deep Learning, SQL, Machine Learning",5,3,2,2,69257,0
"C++, React, SQL, Java",5,4,1,3,101120,5
"Cybersecurity, Ethical Hacking, Networking, Linux",3,3,0,1,97789,5
"Python, Pytorch, TensorFlow",0,3,1,0,54236,6
"Machine Learning, Deep Learning, SQL, Python",3,3,0,2,93900,0
